,Artist,Rank,Song1,Year
261,The Jesters [doowop],112,Sally Green,1960
262,The Heartbeats [Doo Wop],113,Oh Baby Don't,1956
263,The Paradons,114,I Want Love,1960
264,The Cleftones,115,You're Driving Me Mad,1956
265,Ritchie Valens,116,La Bamba,1958
266,The Cadillacs,117,I Wonder Why,1954
267,Johnny Mathis,118,The Twelfth Of Never,1957
268,Percy Sledge,119,Love Me Like You Mean It,1966
269,The Fireflies,120,Stella Got A Fella,1959
270,The Beatles,121,There's A Place,1964
271,Lulu,122,To Sir With Love,1967
272,Bobby Darin,123,That's The Way Love Is,1960
273,Lou Christie,124,Cryin' In The Streets,1965
274,The Kingsmen,125,Haunted Castle,1963
275,The Supremes,126,Ask Any Girl,1964
276,Marvin Gaye,127,You're What's Happening (In The World Today),1968
277,Elvis Presley,128,It's A Matter Of Time,1972
278,Elvis Presley,129,Don't Be Cruel,1956
279,Bobby Darin,130,Bullmoose,1959
280,The Doors,131,The Crystal Ship,1967
281,Roy Orbison,132,Here Comes That Song Again,1960
282,Conway Twitty,133,I'll Try,1958
283,Jay And The Americans,134,Since I Don't Have You,1968
284,Freddy Cannon,135,"June, July, And August",1962
285,The Beach Boys,136,Don't Worry Baby,1964
286,The Beatles,137,You Know My Name (Look Up My Number),1970
287,The Beach Boys,138,Let's Go Away For Awhile,1966
288,Bob Seger And The Silver Bullet Band,139,Sunspot Baby,1979
289,Little Peggy March,140,Wind-Up Doll,1963
290,Little Eva,141,He Is The Boy,1962
291,Sonny And Cher,142,It's Gonna Rain,1965
292,Jackie Wilson,143,In The Blue Of Evening,1958
293,Richard Harris,144,Didn't We,1968
294,The Shirelles,145,Love Is A Swingin' Thing,1962
295,Rosie And The Originals,146,Give Me Love,1960
296,Martha And The Vandellas,147,A Love Like Yours (Don't Come Knocking Everyday),1963
297,Simon And Garfunkel,148,We've Got A Groovey Thing Goin',1965
298,The Jive Five,149,When I Was Single,1961
299,Manfred Mann,150,What You Gonna Do?,1964
300,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,151,Blue HawaiiA,1963
301,Dawn Featuring Tony Orlando,152,Tie A Yellow Ribbon Round The Ole Oak Tree,1973
302,Simon And Garfunkel,153,Bridge Over Troubled Water,1970
303,The 4 Seasons,154,Big Girls Don't Cry,1962
304,The Velvets Featuring Virgil Johnson,155,Tonight (Could Be The Night),1961
305,Little Anthony And The Imperials,156,Tears On My Pillow,1958
306,Lenny Welch,157,Since I Fell For You,1963
307,Elvis Presley,158,Heartbreak Hotel,1956
308,Marcie Blane,159,Bobby's Girl,1962
309,Connie Francis,160,Where The Boys Are,1961
310,The Videos,161,"Trickle, Trickle",1958
311,The Impalas,162,Sorry (I Ran All The Way Home),1959
312,The Association,163,Cherish,1966
313,The Chords [New York],164,Sh-boom,1954
314,The Teddy Bears,165,"To Know Him, Is To Love Him",1958
315,Petula Clark,166,Downtown,1964
316,Elvis Presley With The Jordanaires,167,Crying In The Chapel,1965
317,Patsy Cline,168,Crazy,1961
318,The Earls,169,Life Is But A Dream,1961
319,Frankie Lymon And The Teenagers,170,The A.B.C's Of Love,1956
320,The Happenings,171,See You In September,1966
321,The Dave Clark Five,172,Because,1964
322,Buddy Holly,173,Rave On,1958
323,The Shields,174,You Cheated,1958
324,Jive Five With Eugene Pitt,175,What Time Is It?,1962
325,Mel Carter,176,"Hold Me, Thrill Me, Kiss Me",1965
326,The Harp-Tones,177,A Sunday Kind Of Love,1953
327,Elvis Presley With The Jordanaires,178,Return To Sender,1962
328,Billy Joel,179,Piano Man,1973
329,Buddy Holly,180,Peggy Sue,1957
330,Fats Domino,181,Blueberry Hill,1956
331,Elvis Presley,182,All Shook Up,1957
332,The Outsiders [USA],183,Time Won't Let Me,1966
333,The Crystals,184,He's A Rebel,1962
334,Ernie K-Doe,185,Mother-In-Law,1961
335,Curtis Lee,186,Pretty Little Angel Eyes,1961
336,The Coasters,187,Yakety Yak,1958
337,Robert And Johnny,188,We Belong Together,1957
338,Willows,189,Church Bells May Ring,1956
339,The Devotions,190,Rip Van Winkle,1964
340,The Ronettes,191,Walking In The Rain,1964
341,The Platters,192,Harbor Lights,1960
342,The Mama's And The Papa's,193,California Dreamin',1965
343,Dusty Springfield,194,I Only Want To Be With You,1963
344,Bobby Vinton,195,Blue Velvet,1963
345,Ricky Nelson,196,Travelin' Man,1961
346,Jimmy Charles And The Revelletts,197,A Million To One,1960
347,The Dubs,198,Chapel Of Dreams,1959
348,Stevie Wonder,199,I Just Called To Say I Love You,1984
349,The Five Discs,200,Never Let You Go,1962
350,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,151,No MoreB1,1963
351,Dawn Featuring Tony Orlando,152,I Can't Believe How Much I Love You,1973
352,Simon And Garfunkel,153,Keep The Customer Satisfied,1970
353,The 4 Seasons,154,Connie-O,1962
354,The Velvets Featuring Virgil Johnson,155,Spring Fever,1961
355,Little Anthony And The Imperials,156,Two People In The World,1958
356,Lenny Welch,157,Are You Sincere,1963
357,Elvis Presley,158,I Was The One,1956
358,Marcie Blane,159,A Time To Dream,1962
359,Connie Francis,160,No One,1961
360,The Videos,161,"Moonglow, You Know",1958
361,The Impalas,162,"Fool, Fool, Fool",1959
362,The Association,163,Don't Blame It On Me,1966
363,The Chords [New York],164,Little Maiden,1954
364,The Teddy Bears,165,Don't You Worry My Little Pet,1958
365,Petula Clark,166,You'd Better Love Me,1964
366,Elvis Presley With The Jordanaires,167,I Believe In The Man In The Sky,1965
367,Patsy Cline,168,Who Can I Count On,1961
368,The Earls,169,It's You,1961
369,Frankie Lymon And The Teenagers,170,Share,1956
370,The Happenings,171,He Thinks He's A Hero,1966
371,The Dave Clark Five,172,Theme Without A Name,1964
372,Buddy Holly,173,Take Your Time,1958
373,The Shields,174,That's The Way It's Gonna Be,1958
374,Jive Five With Eugene Pitt,175,Beggin' You Please,1962
375,Mel Carter,176,A Sweet Little Girl,1965
376,The Harp-Tones,177,I'll Never Tell,1953
377,Elvis Presley With The Jordanaires,178,Where Do You Come From,1962
378,Billy Joel,179,You're My Home,1973
379,Buddy Holly,180,Everyday,1957
380,Fats Domino,181,Honey Chile,1956
381,Elvis Presley,182,That's When Your Heartaches Begin,1957
382,The Outsiders [USA],183,Was It Really Real,1966
383,The Crystals,184,I Love You Eddie,1962
384,Ernie K-Doe,185,"Wanted, $10,000.00 Reward",1961
385,Curtis Lee,186,Gee How I Wish You Were Here,1961
386,The Coasters,187,Zing! Went The Strings Of My Heart,1958
387,Robert And Johnny,188,Walking In The Rain,1957
388,Willows,189,Baby Tell Me,1956
389,The Devotions,190,(I Love You) For Sentimental Reasons,1964
390,The Ronettes,191,How Does It Feel?,1964
391,The Platters,192,Sleepy Lagoon,1960
392,The Mama's And The Papa's,193,Somebody Groovy,1965
393,Dusty Springfield,194,Once Upon A Time,1963
394,Bobby Vinton,195,Is There A Place (Where I Can Go),1963
395,Ricky Nelson,196,Hello Mary Lou,1961
396,Jimmy Charles And The Revelletts,197,Hop Scotch Hop,1960
397,The Dubs,198,Is There A Love For Me,1959
398,Stevie Wonder,199,I Just Called To Say I Love You (Instrumental),1984
399,The Five Discs,200,That Was The Time,1962
400,The Platters,201,Twilight Time,1958
401,The Passions,202,I Only Want You,1960
402,The Edsels,203,Bells,1961
403,The Beatles,204,I Feel Fine,1964
404,Neil Sedaka,205,Breaking Up Is Hard To Do,1962
405,Connie Francis,206,Lipstick On Your Collar,1959
406,Santo And Johnny,207,Sleep Walk,1959
407,The Beach Boys,208,I Get Around,1964
408,The Skyliners,209,Pennies From Heaven,1960
409,The Temptations,210,Ain't Too Proud To Beg,1966
410,Elvis Presley,211,One NightElvis Presley With The Jordanaires,1958
411,The 3 Friends,212,Blanche,1956
412,The Surfaris,213,Wipe Out,1963
413,Jerry Lee Lewis,214,Whole Lot Of Shakin' Going On,1957
414,Chicago,215,Beginnings,1971
415,Martha And The Vandellas,216,Dancing In The Street,1964
416,Frankie Valli,217,Can't Take My Eyes Off You,1967
417,Shep And The Limelites,218,Daddy's Home,1961
418,The Duprees,219,Have You Heard,1963
419,The Demensions,220,Over The Rainbow,1960
420,Paul Anka,221,Diana,1957
421,Carpenters,222,(They Long To Be) Close To You,1970
422,Shelley Fabares,223,Johnny Angel,1962
423,Jack Scott,224,My True Love,1958
424,"The Chimes [60s, Brooklyn]",225,Only Love,1961
425,Elvis Presley,226,Memories,1969
426,Frankie Avalon,227,Venus,1959
427,Bette Midler,228,The Rose,1980
428,The 4 Seasons,229,Ronnie,1964
429,Roy Orbison,230,In Dreams,1963
430,The Everly Brothers,231,Devoted To You,1958
431,The Rolling Stones,232,Brown Sugar,1971
432,The Beatles,233,All My Loving,1964
433,Jerry Butler And The Impressions,234,For Your Precious Love,1958
434,The 5th Dimension,235,One Less Bell To Answer,1970
435,Dion (Di Muci),236,Donna The Prima Donna,1963
436,Dion And The Belmonts,237,Where Or When,1959
437,Lee Andrews And The Hearts,238,Teardrops,1957
438,The Marvelettes,239,Please Mr. Postman,1961
439,Little Anthony And The Imperials,240,"Shimmy, Shimmy, Ko-Ko Bop",1959
440,Dickey Lee,241,Patches,1962
441,The Moody Blues,242,Nights In White Satin,1972
442,Elvis Presley With The Jordanaires,243,It's Now Or Never,1960
443,Ricky Nelson,244,Poor Little Fool,1958
444,The Crests,245,Step By Step,1960
445,The Students,246,I'm So Young,1958
446,The Schoolboys [DooWop],247,Shirley,1956
447,The Regents [New York],248,Barbara-Ann,1961
448,The Righteous Brothers,249,Ebb Tide,1965
449,Lesley Gore,250,You Don't Own Me,1963
450,The Platters,201,Out Of My Mind,1958
451,The Passions,202,This Is My Love,1960
452,The Edsels,203,Rama Lama Ding Dong,1961
453,The Beatles,204,She's A Woman,1964
454,Neil Sedaka,205,As Long As I Live,1962
455,Connie Francis,206,Frankie,1959
456,Santo And Johnny,207,All Night Diner,1959
457,The Beach Boys,208,Don't Worry Baby,1964
458,The Skyliners,209,I'll Be Seeing You,1960
459,The Temptations,210,You'll Lose A Precious Love,1966
460,Elvis Presley,211,I Got Stung,1958
461,The 3 Friends,212,Baby I'll Cry,1956
462,The Surfaris,213,Surfer Joe,1963
463,Jerry Lee Lewis,214,It'll Be Me,1957
464,Chicago,215,Colour My World,1971
465,Martha And The Vandellas,216,There He Is (At My Door),1964
466,Frankie Valli,217,The Trouble With Me,1967
467,Shep And The Limelites,218,This I Know,1961
468,The Duprees,219,Love Eyes,1963
469,The Demensions,220,Nursery Rhime Rock,1960
470,Paul Anka,221,Don't Gamble With Love,1957
471,Carpenters,222,I Kept On Loving You,1970
472,Shelley Fabares,223,Where's It Gonna Get Me?,1962
473,Jack Scott,224,Leroy,1958
474,"The Chimes [60s, Brooklyn]",225,I'm In The Mood For Love,1961
475,Elvis Presley,226,Charro,1969
476,Frankie Avalon,227,I'm Broke,1959
477,Bette Midler,228,Stay With Me,1980
478,The 4 Seasons,229,Born To Wander,1964
479,Roy Orbison,230,Shahdaroba,1963
480,The Everly Brothers,231,Bird Dog,1958
481,The Rolling Stones,232,Bitch,1971
482,The Beatles,233,This Boy,1964
483,Jerry Butler And The Impressions,234,Sweet Was The Wine,1958
484,The 5th Dimension,235,Feelin' Alright?,1970
485,Dion (Di Muci),236,You're Mine,1963
486,Dion And The Belmonts,237,That's My Desire,1959
487,Lee Andrews And The Hearts,238,The Girl Around The Corner,1957
488,The Marvelettes,239,So Long Baby,1961
489,Little Anthony And The Imperials,240,I'm Still In Love With You,1959
490,Dickey Lee,241,More Or Less,1962
491,The Moody Blues,242,Cities,1972
492,Elvis Presley With The Jordanaires,243,A Mess Of Blues,1960
493,Ricky Nelson,244,Don't Leave Me This Way,1958
494,The Crests,245,Gee (But I'd Give The World),1960
495,The Students,246,Every Day Of The Week,1958
496,The Schoolboys [DooWop],247,Please Say You Want Me,1956
497,The Regents [New York],248,I'm So Lonely,1961
498,The Righteous Brothers,249,(I Love You) For Sentimental Reasons,1965
499,Lesley Gore,250,"Run Bobby, Run",1963
500,The Dubs,251,Don't Ask Me (To Be Lonely),1957
501,The Silhouettes,252,Get A Job,1957
502,The Everly Brothers,253,Wake Up Little Susie,1957
503,The Monkees,254,Daydream Believer,1967
504,Jay And The Americans,255,Come A Little Bit Closer,1964
505,Ray Peterson,256,Tell Laura I Love Her,1960
506,Moonglows,257,Most Of All,1955
507,The Supremes,258,Where Did Our Love Go,1964
508,The Everly Brothers,259,Bye Bye Love,1957
509,Derek And The Dominos,260,Layla,1971
510,The Rivieras [Indiana],261,California Sun,1963
511,The Young Rascals,262,Good Lovin',1966
512,The Nutmegs,263,Story Untold,1955
513,The Troggs,264,Wild Thing,1966
514,Freda Payne,265,Band Of Gold,1970
515,Wilbert Harrison,266,Kansas City,1959
516,Roy Orbison,267,Running Scared,1961
517,Debby Boone,268,You Light Up My Life,1977
518,The Beatles,269,Love Me Do,1963
519,The Dells,270,Oh What A Nite,1956
520,Bob Dylan,271,Like A Rolling Stone,1965
521,Don And Juan,272,What's Your Name,1961
522,Steve Lawrence,273,Go Away Little Girl,1962
523,The Animals,274,The House Of The Rising Sun,1964
524,Bread,275,If,1971
525,The Teen Queens,276,Eddie My Love,1956
526,The Tune Weavers,277,"Happy, Happy Birthday BabyPaul Gayten",1957
527,Four Tops,278,I Can't Help Myself,1965
528,The Cyrkle,279,Red Rubber Ball,1966
529,The Brooklyn Bridge,280,Blessed Is The Rain,1969
530,Chuck Berry And His Combo,281,Maybellene,1955
531,Connie Francis,282,Who's Sorry Now,1957
532,Neil Diamond,283,Sweet Caroline (Good Times Never Seemed So Good),1969
533,Eagles,284,Hotel California,1977
534,The Beatles,285,Something,1969
535,Rod Stewart,286,Reason To Believe,1971
536,The Everly Brothers,287,Let It Be Me,1959
537,Paul And Paula,288,Hey Paula,1962
538,The Beatles,289,Help!,1965
539,Elvis Presley,290,If I Can Dream,1968
540,Sam Cooke,291,You Send Me,1957
541,Paul Anka,292,Put Your Head On My Shoulder,1959
542,The Corsairs,293,Smoky Places,1961
543,The Drifters,294,There Goes My Baby,1959
544,The Everly Brothers,295,Cathy's Clown,1960
545,Lee Andrews And The Hearts,296,Try The Impossible,1958
546,The Dixie Cups,297,Chapel Of Love,1964
547,Buddy Holly,298,Peggy Sue,1957
548,The Mama's And The Papa's,299,"Monday, Monday",1966
549,The Six Teens,300,A Casual Look,1956
550,The Dubs,251,Darling,1957
551,The Silhouettes,252,I Am Lonely,1957
552,The Everly Brothers,253,Maybe Tomorrow,1957
553,The Monkees,254,Goin' Down,1967
554,Jay And The Americans,255,Goodbye Boys Goodbye (Ciao Ragazzi Ciao),1964
555,Ray Peterson,256,Wedding Day,1960
556,Moonglows,257,She's Gone,1955
557,The Supremes,258,He Means The World To Me,1964
558,The Everly Brothers,259,I Wonder If I Care As Much,1957
559,Derek And The Dominos,260,I Am Yours,1971
560,The Rivieras [Indiana],261,H B Goose Step,1963
561,The Young Rascals,262,Mustang Sally,1966
562,The Nutmegs,263,Make Me Lose My Mind,1955
563,The Troggs,264,With A Girl Like You,1966
564,Freda Payne,265,The Easiest Way To Fall,1970
565,Wilbert Harrison,266,"Listen, My Darling",1959
566,Roy Orbison,267,Love Hurts,1961
567,Debby Boone,268,Hasta Mañana,1977
568,The Beatles,269,P. S. I Love You,1963
569,The Dells,270,Jo-Jo,1956
570,Bob Dylan,271,Gates Of Eden,1965
571,Don And Juan,272,Chicken Necks,1961
572,Steve Lawrence,273,If You Love Her Tell Her So,1962
573,The Animals,274,Talkin' 'Bout You,1964
574,Bread,275,Take Comfort,1971
575,The Teen Queens,276,Just Goofed,1956
576,The Tune Weavers,277,Yo Yo Walk,1957
577,Four Tops,278,Sad Souvenirs,1965
578,The Cyrkle,279,How Can I Leave Her,1966
579,The Brooklyn Bridge,280,Welcome Me Love,1969
580,Chuck Berry And His Combo,281,Wee Wee Hours,1955
581,Connie Francis,282,You Were Only Fooling (While I Was Falling In Love),1957
582,Neil Diamond,283,Dig In,1969
583,Eagles,284,Pretty Maids All In A Row,1977
584,The Beatles,285,Come Together,1969
585,Rod Stewart,286,Maggie May,1971
586,The Everly Brothers,287,Since You Broke My Heart,1959
587,Paul And Paula,288,Bobby Is The One,1962
588,The Beatles,289,I'm Down,1965
589,Elvis Presley,290,Edge Of Reality,1968
590,Sam Cooke,291,Summertime,1957
591,Paul Anka,292,Don't Ever Leave Me,1959
592,The Corsairs,293,Thinkin' (Maybe She's Changed Her Ways),1961
593,The Drifters,294,Oh My Love,1959
594,The Everly Brothers,295,Always It's You,1960
595,Lee Andrews And The Hearts,296,Nobody's Home,1958
596,The Dixie Cups,297,Ain't That Nice,1964
597,Buddy Holly,298,Everyday,1957
598,The Mama's And The Papa's,299,Got A Feelin',1966
599,The Six Teens,300,Teen Age Promise,1956
600,The Rolling Stones,301,Honky Tonk Women,1969
601,Barbra Streisand,302,The Way We Were,1973
602,Roy Orbison,303,Blue Angel,1960
603,Bobby Helms,304,My Special Angel,1957
604,Diana Ross And Lionel Richie,305,Endless Love (Vocal),1981
605,Bobby Darin,306,Splish Splash,1958
606,The 4 Seasons,307,Let's Hang On!,1965
607,The Cleftones,308,You Baby You,1955
608,Johnny Horton,309,The Battle Of New Orleans,1959
609,Cozy Cole,310,Topsy I,1958
610,The Chiffons,311,He's So Fine,1963
611,The 4 Seasons,312,I've Got You Under My Skin,1966
612,The Crests,313,The Angels Listened In,1959
613,Dinah Washington,314,What A Diff'rence A Day Makes,1959
614,The Vogues,315,You're The One,1965
615,Jr. Walker And The All Stars,316,What Does It Take (To Win Your Love),1969
616,Phil Phillips With The Twilights,317,Sea Of Love,1959
617,The Brooklyn Bridge,318,Blessed Is The Rain,1969
618,The Monotones,319,Book Of Love,1958
619,Johnnie And Joe,320,Over The Mountain Across The Sea,1957
620,Bobby Goldsboro,321,Honey,1968
621,The Beatles,322,The Long And Winding Road,1970
622,The Everly Brothers,323,All I Have To Do Is Dream,1958
623,The Beach Boys,324,"Help Me, Rhonda",1965
624,The Flamingos,325,Lovers Never Say Goodbye,1958
625,The Left Banke,326,Walk Away Renee,1966
626,Barry McGuire,327,Eve Of Destruction,1965
627,The Righteous Brothers,328,(You're My) Soul And Inspiration,1966
628,Frank Sinatra,329,Strangers In The Night,1966
629,Johnny Mathis,330,Misty,1959
630,J. Frank Wilson And The Cavaliers,331,Last Kiss,1964
631,Ed Townsend,332,For Your Love,1958
632,The Beach Boys,333,California Girls,1965
633,Four Tops,334,Reach Out I'll Be There,1966
634,Vito And The Salutations,335,Gloria,1962
635,Harry Chapin,336,Taxi,1972
636,Jay And The Americans,337,Only In America,1963
637,The Beatles,338,A Hard Day's Night,1964
638,The Rolling Stones,339,Let's Spend The Night Together,1967
639,The Coasters,340,Charlie Brown,1959
640,The Tornadoes,341,Telstar,1962
641,Bill Haley And His Comets,342,"Shake, Rattle And Roll",1954
642,The Angels,343,My Boyfriend's Back,1963
